brand,model,age,km_driven,transmission,owner,fuel_type,posted_date,ask_price,log_price
Hyundai,Other_Models,18,115031,Manual,second,Petrol,Nov-24,140000,11.84939770159144
Maruti Suzuki,Swift,11,67000,Manual,first,Petrol,Nov-24,280000,12.542544882151386
Hyundai,Other_Models,9,74500,Manual,first,Diesel,Nov-24,425000,12.959844447906553
Honda,City,9,93000,Automatic,second,Petrol,Nov-24,575000,13.262125319779487
Maruti Suzuki,Ritz,10,59000,Manual,first,Petrol,Nov-24,295000,12.594730635321957
Toyota,Innova Crysta,8,79000,Automatic,second,Diesel,Nov-24,1725000,14.360737608447597
Hyundai,Verna,3,69000,Automatic,first,Diesel,Nov-24,1250000,14.038654109278484
Hyundai,Creta,10,76000,Automatic,second,Diesel,Nov-24,650000,13.38472764187182
Other_Brands,Other_Models,5,34500,Automatic,first,Petrol,Nov-24,935000,13.748301808270824
Other_Brands,Ecosport,9,130000,Manual,second,Diesel,Nov-24,400000,12.89921982609012
Mercedes-Benz,Other_Models,3,20000,Automatic,first,Diesel,Nov-24,7500000,15.830413578506539
Mahindra,Other_Models,2,15905,Automatic,first,Diesel,Nov-24,2350000,14.669925886120343
Toyota,Innova Crysta,4,21000,Manual,first,Diesel,Nov-24,2125000,14.569282360340654
Other_Brands,Other_Models,6,13000,Automatic,first,Petrol,Nov-24,3950000,15.189226136877304
Maruti Suzuki,Ertiga,10,75000,Manual,first,Diesel,Nov-24,435000,12.983101310070822
Volkswagen,Polo,13,80000,Manual,second,Diesel,Nov-24,300000,12.611537753638338
Maruti Suzuki,Wagon-R,9,50000,Manual,first,Petrol,Sep-24,245000,12.409013489526863
Tata,Nexon,3,40000,Automatic,second,Petrol,Nov-24,680000,13.42984807715229
Maruti Suzuki,Ritz,12,87000,Manual,first,Diesel,Oct-24,385000,12.86099861326992
Toyota,Other_Models,10,155000,Manual,second,Diesel,Nov-24,589000,13.286181462633724
Volkswagen,Other_Models,11,80000,Manual,second,Diesel,Nov-24,425000,12.959844447906553
Maruti Suzuki,Wagon-R,11,84000,Manual,second,Petrol,Oct-24,265000,12.487485104968359
Volkswagen,Polo,4,18000,Automatic,first,Petrol,Nov-24,850000,13.652991628466498
Maruti Suzuki,Baleno,8,47000,Automatic,first,Petrol,Oct-24,575000,13.262125319779487
Volkswagen,Other_Models,14,134000,Manual,first,Diesel,Nov-24,425000,12.959844447906553
Maruti Suzuki,Alto-K10,14,82000,Manual,first,Petrol,Nov-24,180000,12.100712129872347
Maruti Suzuki,Celerio,10,35000,Automatic,first,Petrol,Nov-24,425000,12.959844447906553
Other_Brands,Duster,10,150000,Automatic,second,Diesel,Nov-24,450000,13.017002861746503
Toyota,Fortuner,13,132000,Manual,first,Diesel,Oct-24,1095000,13.906264921232738
Other_Brands,Other_Models,8,130000,Automatic,second,Petrol,Nov-24,2500000,14.73180128983843
Maruti Suzuki,Ertiga,5,59000,Automatic,first,Petrol,Nov-24,980000,13.795307850646754
Tata,Nexon,7,95000,Automatic,second,Petrol,Nov-24,575000,13.262125319779487
Tata,Other_Models,9,115000,Manual,second,Diesel,Nov-24,110000,11.608235644774552
Mahindra,Thar,3,11000,Manual,first,Diesel,Nov-24,1675000,14.331323723241304
Toyota,Other_Models,10,68000,Automatic,second,Petrol,Nov-24,1185000,13.985253332551368
Other_Brands,Other_Models,4,74000,Automatic,first,Petrol,Nov-24,1199000,13.996998434009651
Maruti Suzuki,Ritz,13,88000,Manual,first,Petrol,Nov-24,385000,12.86099861326992
Hyundai,Grand i10,11,47000,Automatic,second,Petrol,Nov-24,455000,13.028052697933088
Mahindra,Other_Models,10,16,Manual,first,Diesel,Nov-24,390000,12.873902018105829
