brand,model,age,km_driven,transmission,owner,fuel_type,posted_date,ask_price,log_price
Mercedes-Benz,Other_Models,11,94500,Automatic,second,Diesel,Nov-24,2150000,14.580978400103845
Other_Brands,Other_Models,6,15000,Automatic,second,Diesel,Nov-24,2995000,14.912454789531687
Maruti Suzuki,Swift,9,1,Manual,first,Petrol,Nov-24,510000,13.142166004700508
Maruti Suzuki,Baleno,9,90000,Manual,second,Diesel,Nov-24,500000,13.122363377404328
Maruti Suzuki,Swift-Dzire,8,42000,Manual,second,Petrol,Nov-24,490000,13.102160670086809
Hyundai,Santro Xing,16,36200,Manual,first,Petrol,Nov-24,91500,11.424094251263613
Toyota,Innova Crysta,7,98000,Automatic,second,Diesel,Nov-24,1650000,14.316285845876763
Toyota,Innova Crysta,3,21000,Automatic,first,Diesel,Nov-24,2590000,14.767168433675721
BMW,Other_Models,8,39000,Automatic,second,Diesel,Nov-24,2399999,14.690978878651421
BMW,Other_Models,13,75000,Automatic,second,Diesel,Nov-24,1975000,14.496078956317358
Other_Brands,Seltos,5,34000,Manual,first,Diesel,Oct-24,1075000,13.8878312195439
Maruti Suzuki,Wagon-R,16,18000,Manual,second,Petrol,Nov-24,135000,11.813030057420567
Toyota,Innova Crysta,5,33000,Manual,second,Diesel,Nov-24,1250000,14.038654109278484
Tata,Other_Models,4,29336,Manual,first,Diesel,Nov-24,2185000,14.597126386511828
Honda,Jazz,14,90000,Manual,second,Petrol,Nov-24,199000,12.201060103706629
Maruti Suzuki,Swift-Dzire,11,53000,Manual,first,Diesel,Nov-24,285000,12.560244459250788
Maruti Suzuki,Swift-Dzire,8,155000,Manual,second,Diesel,Nov-24,550000,13.217673557208654
Tata,Other_Models,3,48000,Automatic,first,Diesel,Nov-24,2099999,14.557447426503062
Other_Brands,Other_Models,1,13000,Automatic,first,Petrol,Nov-24,1475000,14.204168547756057
Maruti Suzuki,Other_Models,7,67452,Automatic,first,Petrol,Nov-24,385000,12.86099861326992
Other_Brands,Other_Models,8,22000,Automatic,second,Petrol,Nov-24,2850000,14.862829552244833
Maruti Suzuki,Ertiga,9,145000,Automatic,second,Diesel,Nov-24,650000,13.38472764187182
Tata,Other_Models,14,150000,Manual,first,Diesel,Nov-24,149000,11.911701584927597
Other_Brands,Seltos,6,54500,Automatic,first,Diesel,Nov-24,1590000,14.279244574196415
BMW,5 Series,7,30000,Automatic,first,Diesel,Nov-24,3950000,15.189226136877304
Volkswagen,Polo,12,75000,Automatic,second,Petrol,Nov-24,470000,13.060487973686241
Honda,Amaze,6,45000,Automatic,first,Petrol,Nov-24,649999,13.384726103409099
Other_Brands,Compass,4,78000,Automatic,first,Diesel,Nov-24,1550000,14.253765488895429
BMW,5 Series,9,47000,Automatic,second,Diesel,Nov-24,2500000,14.73180128983843
Toyota,Innova,13,144600,Manual,second,Diesel,Nov-24,650000,13.38472764187182
Mercedes-Benz,C-Class,7,51000,Automatic,second,Diesel,Nov-24,2850000,14.862829552244833
Toyota,Innova,10,189000,Manual,second,Diesel,Nov-24,920000,13.732128949025222
Audi,A6,8,58000,Automatic,first,Petrol,Nov-24,2750000,14.827111469642754
Mahindra,Other_Models,12,174000,Automatic,first,Diesel,Nov-24,325000,12.691580461311874
Other_Brands,Rapid,12,65000,Automatic,second,Petrol,Nov-24,315000,12.66032791780777
Toyota,Other_Models,11,65000,Manual,first,Petrol,Nov-24,160000,11.982929094215963
Maruti Suzuki,Alto-800,7,22000,Manual,first,Petrol,Nov-24,290000,12.577636201962656
Hyundai,Verna,12,72000,Automatic,second,Diesel,Nov-24,485000,13.091904169919621
Tata,Other_Models,10,47000,Automatic,second,Petrol,Nov-24,265000,12.487485104968359
Volkswagen,VentoTest,7,126000,Manual,first,Diesel,Nov-24,570000,13.253391639810733
Hyundai,Verna,10,125350,Manual,second,Diesel,Nov-24,650000,13.38472764187182
Other_Brands,Duster,5,23000,Automatic,first,Petrol,Nov-24,599000,13.303016877097587
Honda,City,8,120000,Manual,second,Diesel,Nov-24,690000,13.444446876573442
Audi,Other_Models,11,50000,Automatic,second,Diesel,Nov-24,2150000,14.580978400103845
Maruti Suzuki,Other_Models,7,31000,Manual,first,Petrol,Nov-24,419000,12.945626198904275
BMW,3 Series GT,10,61000,Automatic,second,Diesel,Nov-24,1500000,14.22097566607244
Toyota,Fortuner,10,154000,Automatic,second,Diesel,Nov-24,1875000,14.444119217386648
Maruti Suzuki,Swift,5,45000,Manual,first,Petrol,Nov-24,525000,13.17115354157376
Other_Brands,Other_Models,6,56000,Manual,second,Petrol,Nov-24,450000,13.017002861746503
Toyota,Fortuner,11,86000,Automatic,second,Diesel,Oct-24,1325000,14.09692301740246
Hyundai,Verna,9,49000,Manual,second,Diesel,Oct-24,495000,13.112313041550827
Hyundai,Verna,5,58000,Manual,second,Petrol,Nov-24,950000,13.764217263576723
Maruti Suzuki,Other_Models,8,87000,Manual,first,Petrol,Nov-24,460000,13.038981768465277
Mahindra,XUV500,12,49200,Manual,first,Diesel,Nov-24,550000,13.217673557208654
Toyota,Other_Models,2,10000,Automatic,first,Petrol,Nov-24,4450000,15.308414654142423
Toyota,Innova,19,170000,Manual,second,Diesel,Nov-24,270000,12.506177237980511
Other_Brands,Duster,9,63000,Manual,second,Diesel,Nov-24,415000,12.936033799212835
Mercedes-Benz,Other_Models,8,32600,Automatic,second,Petrol,Nov-24,1750000,14.375126345899696
Maruti Suzuki,Ritz,10,31000,Manual,second,Petrol,Nov-24,465000,13.049792684569493
Maruti Suzuki,Other_Models,7,90000,Automatic,first,Diesel,Nov-24,565000,13.244581010128577
Maruti Suzuki,Vitara-Brezza,8,42000,Manual,first,Diesel,Nov-24,849999,13.652990451995219
Tata,Other_Models,13,100000,Manual,second,Diesel,Nov-24,125000,11.736069016284437
Honda,Other_Models,4,72000,Manual,first,Diesel,Nov-24,725000,13.493926933836812
BMW,Other_Models,13,70000,Automatic,first,Diesel,Nov-24,1100000,13.9108207377686
Maruti Suzuki,Wagon-R,13,152643,Manual,first,Petrol,Nov-24,175000,12.072541252905651
Maruti Suzuki,Wagon-R,18,75000,Manual,second,Petrol,Nov-24,165000,12.013700752882718
Maruti Suzuki,Swift-Dzire,15,78000,Manual,second,Petrol,Nov-24,190000,12.154779351142624
Hyundai,i20,9,95000,Manual,second,Diesel,Nov-24,490000,13.102160670086809
Maruti Suzuki,Swift,2,11000,Automatic,first,Petrol,Nov-24,815000,13.610943392223
Maruti Suzuki,Other_Models,4,35000,Manual,first,Petrol,Nov-24,750000,13.527828485512494
Hyundai,Other_Models,11,61000,Automatic,first,Diesel,Nov-24,499000,13.120361374733656
Other_Brands,Other_Models,7,85000,Automatic,second,Diesel,Nov-24,2200000,14.603967918328545
Other_Brands,Ecosport,7,32000,Manual,first,Diesel,Nov-24,865000,13.670484785914017
Other_Brands,Other_Models,3,40400,Automatic,first,Petrol,Nov-24,1451000,14.187763531866326
Maruti Suzuki,Swift,10,115000,Manual,second,Diesel,Nov-24,465000,13.049792684569493
Tata,Other_Models,3,7200,Manual,first,Petrol,Nov-24,6500000,15.687312734865866
Maruti Suzuki,Other_Models,5,49000,Manual,second,Diesel,Nov-24,390000,12.873902018105829
Hyundai,Other_Models,8,71000,Manual,second,Petrol,Nov-24,499000,13.120361374733656
BMW,Other_Models,13,69000,Automatic,second,Diesel,Nov-24,649000,13.383187995686226
Honda,City,14,110000,Manual,first,Petrol,Nov-24,320000,12.676076274775909
Other_Brands,Other_Models,10,92000,Automatic,second,Diesel,Nov-24,1450000,14.187074114396758
Other_Brands,Other_Models,3,39500,Automatic,first,Petrol,Nov-24,1290000,14.070152776337855
Hyundai,i10,12,99000,Manual,second,Petrol,Nov-24,255000,12.449018824140563
Maruti Suzuki,Other_Models,7,10500,Automatic,second,Petrol,Nov-24,375000,12.834681304952548
Tata,Nexon,6,120000,Manual,first,Diesel,Nov-24,640000,13.369223455335854
Other_Brands,Other_Models,10,72000,Automatic,second,Petrol,Nov-24,1475000,14.204168547756057
Maruti Suzuki,Other_Models,2,13000,Automatic,first,Petrol,Nov-24,920000,13.732128949025222
Mahindra,Thar,4,45000,Manual,first,Petrol,Nov-24,1370000,14.130321297804308
Toyota,Fortuner,11,168000,Automatic,first,Diesel,Nov-24,1340000,14.108180171927094
Hyundai,i20,7,53000,Manual,second,Petrol,Oct-24,499000,13.120361374733656
Maruti Suzuki,Celerio,8,44000,Automatic,second,Petrol,Nov-24,425000,12.959844447906553
Mercedes-Benz,C-Class,12,89000,Automatic,second,Diesel,Nov-24,899000,13.709038313453757
Audi,Other_Models,13,87000,Automatic,second,Diesel,Nov-24,1050000,13.864300722133706
Maruti Suzuki,Other_Models,7,27800,Automatic,first,Diesel,Oct-24,849000,13.651814465293484
Maruti Suzuki,Other_Models,8,62000,Automatic,first,Petrol,Sep-24,535000,13.190022025878143
BMW,5 Series,9,47000,Automatic,second,Diesel,Nov-24,2500000,14.73180128983843
Honda,Other_Models,21,160000,Manual,second,Petrol,Nov-24,124000,11.728036844587175
Maruti Suzuki,Vitara-Brezza,9,93000,Manual,first,Diesel,Nov-24,685000,13.437174117244362
Honda,City,4,37000,Automatic,first,Petrol,Nov-24,1150000,13.955272500339433
Volkswagen,Polo,10,65000,Manual,first,Petrol,Nov-24,375000,12.834681304952548
Hyundai,i10,12,51000,Manual,second,Petrol,Sep-24,250000,12.429216196844383
Maruti Suzuki,Alto-K10,11,98000,Manual,second,Petrol,Nov-24,245000,12.409013489526863
Other_Brands,Other_Models,5,65000,Automatic,first,Petrol,Nov-24,1375000,14.133964289082808
Mercedes-Benz,Other_Models,13,95000,Automatic,second,Diesel,Nov-24,1449000,14.18638422130282
Tata,Other_Models,7,112000,Manual,second,Diesel,Nov-24,799000,13.591116224748411
Hyundai,Creta,8,53000,Automatic,first,Diesel,Nov-24,850000,13.652991628466498
Audi,Other_Models,13,87000,Automatic,second,Diesel,Nov-24,1050000,13.864300722133706
Other_Brands,Rapid,9,120000,Automatic,first,Diesel,Nov-24,590000,13.287877815881902
Hyundai,Creta,8,69000,Automatic,second,Petrol,Nov-24,785000,13.573438996764546
Maruti Suzuki,Wagon-R,9,79000,Manual,first,Petrol,Nov-24,380000,12.84792653170257
Maruti Suzuki,Ertiga,9,63000,Manual,second,Diesel,Nov-24,675000,13.422467969854667
Mercedes-Benz,C-Class,10,68000,Automatic,second,Petrol,Nov-24,1699000,14.34555040065407
BMW,3 Series GT,9,75000,Automatic,second,Diesel,Nov-24,1795000,14.400515579904516
Toyota,Other_Models,4,9110,Automatic,first,Petrol,Nov-24,895000,13.704578997256993
Other_Brands,Other_Models,2,24000,Automatic,first,Petrol,Nov-24,1640000,14.310206799800381
Other_Brands,Seltos,6,71000,Manual,first,Diesel,Nov-24,1215000,14.010254634756786
Hyundai,Creta,4,41000,Manual,first,Petrol,Nov-24,1050000,13.864300722133706
Maruti Suzuki,Other_Models,2,35000,Manual,first,Petrol,Nov-24,1275000,14.058456736574664
Maruti Suzuki,Baleno,4,38000,Manual,first,Petrol,Nov-24,750000,13.527828485512494
Volkswagen,Polo,8,60000,Manual,first,Petrol,Oct-24,665000,13.407542319637992
Other_Brands,Seltos,5,16000,Automatic,first,Petrol,Nov-24,1385000,14.141210697603576
Tata,Nexon,7,62000,Automatic,second,Petrol,Nov-24,675000,13.422467969854667
Maruti Suzuki,Swift-Dzire,10,74000,Manual,second,Diesel,Nov-24,390000,12.873902018105829
Maruti Suzuki,Baleno,3,41000,Manual,first,Petrol,Aug-24,640000,13.369223455335854
Honda,Other_Models,11,48000,Manual,second,Petrol,Nov-24,470000,13.060487973686241
Maruti Suzuki,Baleno,7,110000,Manual,first,Petrol,Nov-24,585000,13.279367126213993
Other_Brands,Other_Models,5,40000,Automatic,first,Petrol,Nov-24,1321111,14.093983607226452
Mercedes-Benz,E-Class,6,21000,Automatic,first,Diesel,Nov-24,3600000,15.096444403426338
Hyundai,Creta,10,75000,Automatic,second,Diesel,Nov-24,595000,13.296316684527767
Toyota,Innova,11,130000,Manual,first,Diesel,Nov-24,1360000,14.122995257712235
Maruti Suzuki,Swift,2,3,Manual,first,Petrol,Nov-24,760000,13.541073712262515
Mercedes-Benz,Other_Models,5,69000,Automatic,first,Diesel,Nov-24,3900000,15.176487111099874
Hyundai,Other_Models,6,62000,Manual,second,Diesel,Nov-24,910000,13.721199878493033
Audi,A6,2,11000,Automatic,first,Petrol,Nov-24,5100000,15.444751097694555
Hyundai,i10,18,82000,Manual,second,Petrol,Nov-24,150000,11.918390573078392
Other_Brands,Other_Models,12,112000,Manual,first,Diesel,Nov-24,185000,12.128111104060462
Hyundai,Verna,6,55000,Manual,first,Petrol,Nov-24,850000,13.652991628466498
Hyundai,Creta,2,11000,Manual,first,Petrol,Nov-24,1340000,14.108180171927094
Mahindra,XUV500,10,68000,Manual,first,Diesel,Nov-24,745000,13.521139497361697
Hyundai,Other_Models,1,3500,Manual,first,Petrol,Nov-24,820000,13.617059619240436
Other_Brands,Seltos,5,68000,Manual,first,Diesel,Nov-24,1040000,13.854731271117556
Mercedes-Benz,Other_Models,8,32600,Automatic,second,Petrol,Nov-24,1750000,14.375126345899696
Hyundai,Venue,6,42000,Manual,first,Diesel,Nov-24,900000,13.710150042306449
Maruti Suzuki,Wagon-R,6,52468,Manual,first,Petrol,Nov-24,435000,12.983101310070822
Volkswagen,Other_Models,3,14000,Automatic,first,Petrol,Nov-24,1740000,14.369395671190711
Other_Brands,Other_Models,7,73182,Automatic,first,Diesel,Oct-24,3750000,15.137266397946593
Hyundai,Other_Models,23,150000,Manual,second,Petrol,Nov-24,110000,11.608235644774552
Hyundai,i10,16,112000,Manual,second,Petrol,Nov-24,150000,11.918390573078392
Hyundai,Other_Models,8,16000,Automatic,second,Petrol,Nov-24,1050000,13.864300722133706
Hyundai,Other_Models,13,85000,Manual,second,Petrol,Nov-24,290000,12.577636201962656
Maruti Suzuki,Swift,9,60000,Manual,first,Petrol,Nov-24,359000,12.791077667470416
Toyota,Other_Models,8,45669,Manual,second,Petrol,Oct-24,590000,13.287877815881902
Other_Brands,Other_Models,14,62000,Manual,first,Diesel,Nov-24,195000,12.180754837545884
Tata,Nexon,6,39000,Manual,first,Diesel,Nov-24,675000,13.422467969854667
Other_Brands,Seltos,2,12000,Automatic,first,Petrol,Nov-24,1625000,14.301018373745976
Honda,Amaze,8,110000,Manual,second,Petrol,Nov-24,420000,12.948009990259552
Maruti Suzuki,Wagon-R,11,80000,Manual,first,Petrol,Nov-24,310000,12.644327576461329
Toyota,Innova,14,125000,Manual,second,Diesel,Nov-24,650000,13.38472764187182
Toyota,Innova Crysta,9,110000,Automatic,second,Diesel,Nov-24,1560000,14.26019637922572
Other_Brands,Other_Models,4,34000,Automatic,first,Diesel,Nov-24,1295000,14.074021253115776
Other_Brands,Other_Models,13,84000,Automatic,first,Diesel,Nov-24,760000,13.541073712262515
Other_Brands,Other_Models,4,24745,Automatic,second,Petrol,Oct-24,1430000,14.17318500223609
Other_Brands,Other_Models,5,47000,Automatic,first,Petrol,Nov-24,1350000,14.115615150414612
Hyundai,Creta,8,86000,Manual,second,Diesel,Nov-24,650000,13.38472764187182
Other_Brands,Other_Models,9,80400,Automatic,second,Diesel,Nov-24,3975000,15.19553530607057
Tata,Other_Models,8,75000,Manual,first,Diesel,Nov-24,670000,13.415032991367148
Audi,Other_Models,13,75000,Automatic,first,Diesel,Nov-24,1175000,13.976778705560397
Maruti Suzuki,Other_Models,1,1600,Manual,first,Petrol,Nov-24,1350000,14.115615150414612
Maruti Suzuki,Swift-Dzire,8,78000,Manual,first,Diesel,Nov-24,750000,13.527828485512494
Toyota,Fortuner,2,40000,Automatic,first,Diesel,Nov-24,4250000,15.2624295409006
Other_Brands,Other_Models,10,64000,Automatic,second,Diesel,Nov-24,6600000,15.702580206996654
Hyundai,Verna,6,79146,Automatic,second,Petrol,Oct-24,965000,13.779883380321124
Honda,Other_Models,10,175000,Automatic,second,Petrol,Nov-24,850000,13.652991628466498
Maruti Suzuki,Ertiga,6,47110,Manual,second,Petrol,Nov-24,769000,13.55284624848778
Maruti Suzuki,Swift,7,29000,Automatic,first,Petrol,Nov-24,549000,13.215853720491667
Maruti Suzuki,Wagon-R,7,18052,Manual,second,Petrol,Nov-24,371000,12.823957341589573
Other_Brands,Other_Models,4,39000,Automatic,second,Petrol,Oct-24,6875000,15.74340220151691
Hyundai,Grand i10,10,89000,Manual,second,Diesel,Nov-24,300000,12.611537753638338
Maruti Suzuki,Wagon-R,5,26600,Automatic,first,Petrol,Nov-24,550000,13.217673557208654
Maruti Suzuki,Swift-Dzire,9,83316,Manual,second,Diesel,Nov-24,535000,13.190022025878143
Maruti Suzuki,Omni,16,95000,Manual,second,Petrol,Nov-24,135000,11.813030057420567
BMW,Other_Models,13,134000,Automatic,second,Diesel,Nov-24,749000,13.526494262499357
Honda,City,16,94000,Automatic,first,Petrol,Nov-24,235000,12.367340793126296
Honda,Other_Models,21,120000,Automatic,second,Petrol,Nov-24,230000,12.345834587905333
Tata,Other_Models,12,93000,Manual,second,Diesel,Nov-24,140000,11.84939770159144
Mahindra,XUV500,8,27000,Manual,first,Diesel,Nov-24,1350000,14.115615150414612
Mahindra,Scorpio,5,34000,Manual,first,Diesel,Nov-24,1399000,14.151268253647618
Mercedes-Benz,C-Class,9,66000,Automatic,second,Diesel,Nov-24,1900000,14.457364444136669
Mercedes-Benz,Other_Models,12,49000,Automatic,second,Petrol,Sep-24,1950000,14.48333993053993
Hyundai,Other_Models,5,40000,Manual,second,Petrol,Nov-24,550000,13.217673557208654
Mercedes-Benz,C-Class,13,76294,Automatic,first,Petrol,Oct-24,1180000,13.981024996441848
Mercedes-Benz,E-Class,15,85000,Automatic,second,Petrol,Nov-24,599000,13.303016877097587
Hyundai,Creta,4,38000,Manual,first,Diesel,Nov-24,1249000,14.037853789107714
Mahindra,Other_Models,3,56800,Manual,first,Diesel,Nov-24,838000,13.63877337946422
Other_Brands,Seltos,4,95000,Manual,second,Diesel,Nov-24,1350000,14.115615150414612
Maruti Suzuki,Ertiga,6,15000,Automatic,second,Petrol,Nov-24,1055000,13.869051324892304
Volkswagen,Other_Models,7,52000,Automatic,first,Diesel,Nov-24,1915000,14.465228180596883
Mahindra,Other_Models,14,180000,Manual,second,Diesel,Nov-24,199000,12.201060103706629
Maruti Suzuki,Other_Models,22,100000,Manual,second,Petrol,Nov-24,100000,11.512925464970229
Volkswagen,Other_Models,6,105000,Manual,second,Diesel,Nov-24,525000,13.17115354157376
Mahindra,Other_Models,9,90000,Manual,second,Petrol,Nov-24,380000,12.84792653170257
Honda,City,10,70000,Automatic,first,Petrol,Nov-24,575000,13.262125319779487
Toyota,Innova Crysta,6,57000,Automatic,first,Diesel,Nov-24,1580000,14.27293540500315
Mercedes-Benz,Other_Models,13,125000,Automatic,second,Diesel,Oct-24,915000,13.726679344257658
Other_Brands,Other_Models,12,50000,Automatic,second,Diesel,Nov-24,1150000,13.955272500339433
Other_Brands,Compass,3,21000,Automatic,first,Diesel,Nov-24,2525111,14.741795580121407
Tata,Nexon,3,20000,Automatic,second,Diesel,Nov-24,1000000,13.815510557964274
Other_Brands,Ecosport,7,75000,Automatic,first,Petrol,Nov-24,640000,13.369223455335854
Hyundai,Creta,8,160000,Automatic,second,Petrol,Nov-24,799000,13.591116224748411
Other_Brands,Ecosport,5,94000,Manual,first,Diesel,Nov-24,1049000,13.863347887378435
Honda,Other_Models,13,62000,Manual,second,Petrol,Nov-24,320000,12.676076274775909
Toyota,Fortuner,3,27000,Automatic,first,Diesel,Nov-24,4400000,15.29711509888849
Hyundai,Creta,7,82000,Automatic,first,Diesel,Nov-24,795000,13.58609739363647
Tata,Nexon,6,34000,Automatic,first,Petrol,Nov-24,875000,13.681979165339751
Honda,Other_Models,11,68569,Automatic,first,Petrol,Oct-24,325000,12.691580461311874
Mahindra,Scorpio,10,88000,Manual,second,Diesel,Aug-24,1150000,13.955272500339433
Hyundai,Other_Models,7,90000,Manual,second,Diesel,Nov-24,900000,13.710150042306449
Maruti Suzuki,Swift-Dzire,10,63000,Manual,first,Diesel,Nov-24,435000,12.983101310070822
Honda,Other_Models,7,43258,Manual,first,Diesel,Nov-24,751000,13.529160930746272
Mercedes-Benz,C-Class,11,96000,Automatic,second,Diesel,Nov-24,850000,13.652991628466498
Maruti Suzuki,Other_Models,15,86000,Manual,second,Petrol,Nov-24,125000,11.736069016284437
Other_Brands,Duster,5,23000,Automatic,first,Petrol,Nov-24,599000,13.303016877097587
Mahindra,XUV500,6,120000,Manual,first,Diesel,Nov-24,995000,13.81049801614073
Tata,Other_Models,10,82000,Manual,first,Diesel,Nov-24,499000,13.120361374733656
Hyundai,Verna,15,80000,Manual,second,Diesel,Nov-24,199000,12.201060103706629
Other_Brands,Other_Models,14,153226,Automatic,second,Diesel,Nov-24,400000,12.89921982609012
Hyundai,Other_Models,2,46000,Manual,first,Petrol,Nov-24,725000,13.493926933836812
Other_Brands,Seltos,3,79000,Automatic,second,Diesel,Nov-24,1650000,14.316285845876763
Other_Brands,Other_Models,4,32422,Automatic,second,Petrol,Nov-24,7499999,15.830413445173196
Maruti Suzuki,Alto-800,9,26000,Manual,second,Petrol,Nov-24,275000,12.524526376648708
BMW,Other_Models,5,29600,Automatic,first,Petrol,Oct-24,3345000,15.022977251544466
Maruti Suzuki,Alto-800,17,88000,Manual,second,Petrol,Nov-24,160000,11.982929094215963
Tata,Tiago,8,80000,Manual,second,Petrol,Nov-24,325000,12.691580461311874
Toyota,Innova Crysta,8,177000,Manual,first,Diesel,Nov-24,1445000,14.183619879528669
Maruti Suzuki,Swift,5,46000,Manual,first,Petrol,Nov-24,655000,13.39239051461739
Other_Brands,Duster,6,58000,Manual,first,Diesel,Oct-24,650000,13.38472764187182
Maruti Suzuki,Wagon-R,11,62000,Manual,second,Diesel,Nov-24,250000,12.429216196844383
Honda,Other_Models,6,120000,Manual,second,Diesel,Nov-24,725000,13.493926933836812
Mercedes-Benz,Other_Models,12,92203,Automatic,second,Diesel,Nov-24,2751000,14.827475039906712
BMW,3 Series GT,10,61000,Automatic,second,Diesel,Nov-24,1500000,14.22097566607244
Volkswagen,Other_Models,13,88049,Manual,second,Diesel,Nov-24,599999,13.304683267530228
Other_Brands,KWID,10,63000,Manual,second,Petrol,Nov-24,199999,12.206067645517674
Toyota,Innova,12,180000,Manual,second,Diesel,Nov-24,875000,13.681979165339751
Mahindra,XUV500,9,96000,Manual,first,Diesel,Nov-24,750000,13.527828485512494
BMW,3 Series GT,10,61000,Automatic,second,Diesel,Nov-24,1500000,14.22097566607244
Other_Brands,Other_Models,12,90000,Automatic,first,Diesel,Nov-24,440000,12.994530005894443
Other_Brands,Other_Models,13,90000,Manual,second,Diesel,Nov-24,799999,13.592365756649283
Audi,Other_Models,11,45000,Automatic,second,Diesel,Nov-24,1200000,13.997832114758229
Volkswagen,Polo,10,75000,Manual,second,Diesel,Nov-24,585000,13.279367126213993
Maruti Suzuki,Wagon-R-1-0,18,202000,Manual,second,Petrol,Nov-24,150000,11.918390573078392
Mahindra,Thar,4,20000,Manual,first,Diesel,Nov-24,1199000,13.996998434009651
Maruti Suzuki,Other_Models,14,50600,Automatic,second,Petrol,Nov-24,290000,12.577636201962656
BMW,Other_Models,8,65000,Automatic,second,Diesel,Oct-24,1450000,14.187074114396758
Mahindra,XUV500,13,75000,Manual,second,Diesel,Nov-24,450000,13.017002861746503
Other_Brands,KWID,8,42193,Automatic,second,Petrol,Nov-24,390000,12.873902018105829
Volkswagen,Polo,9,68500,Automatic,second,Petrol,Nov-24,651000,13.386264921190707
Hyundai,Other_Models,6,57000,Manual,first,Petrol,Nov-24,490000,13.102160670086809
Mahindra,Other_Models,9,55000,Automatic,first,Diesel,Nov-24,695000,13.45166712454693
Maruti Suzuki,Other_Models,8,113000,Manual,second,Diesel,Nov-24,595000,13.296316684527767
Mahindra,Other_Models,16,83000,Manual,second,Diesel,Nov-24,355000,12.779873068457553
Other_Brands,Other_Models,10,110000,Automatic,second,Diesel,Oct-24,1599000,14.284888991816091
Mahindra,XUV500,13,85800,Manual,first,Diesel,Nov-24,460000,13.038981768465277
Hyundai,i10,12,60000,Automatic,first,Petrol,Oct-24,375000,12.834681304952548
Toyota,Innova,11,209000,Manual,second,Diesel,Nov-24,1125000,13.933293593620657
Tata,Other_Models,6,136927,Automatic,second,Diesel,Nov-24,1090000,13.901688254205327
Honda,Jazz,9,61000,Automatic,second,Petrol,Sep-24,450000,13.017002861746503
Maruti Suzuki,Other_Models,7,52000,Automatic,first,Petrol,Nov-24,480000,13.081541382884074
Other_Brands,Compass,7,70000,Automatic,second,Petrol,Aug-24,1150000,13.955272500339433
Mahindra,XUV500,11,86000,Manual,first,Diesel,Nov-24,825000,13.623138665316818
Toyota,Innova Crysta,8,108277,Automatic,first,Diesel,Nov-24,1845000,14.427989835456765
Maruti Suzuki,Other_Models,3,26000,Manual,first,Petrol,Nov-24,935000,13.748301808270824
Other_Brands,Other_Models,10,82000,Automatic,first,Diesel,Nov-24,4175000,15.244624916267092
Maruti Suzuki,Swift-Dzire,10,54000,Manual,second,Petrol,Nov-24,364000,12.804909146618877
Audi,A6,10,89000,Automatic,first,Diesel,Nov-24,890000,13.698976741708323
Other_Brands,Other_Models,2,17000,Automatic,first,Petrol,Nov-24,2025000,14.521080258522776
Other_Brands,Other_Models,5,62000,Automatic,first,Diesel,Nov-24,825000,13.623138665316818
Mahindra,Other_Models,10,65000,Automatic,first,Diesel,Nov-24,599999,13.304683267530228
Audi,Other_Models,3,40000,Automatic,first,Petrol,Nov-24,5900000,15.590462908875947
Toyota,Fortuner,12,174500,Automatic,second,Diesel,Nov-24,1450000,14.187074114396758
Maruti Suzuki,Swift-Dzire,8,29000,Automatic,first,Petrol,Nov-24,595000,13.296316684527767
Toyota,Innova Crysta,3,80000,Manual,first,Diesel,Nov-24,2720000,14.81614243827218
Hyundai,Creta,9,80000,Manual,first,Diesel,Nov-24,790000,13.579788224443204
Maruti Suzuki,Ciaz,9,81000,Automatic,second,Petrol,Nov-24,615000,13.329377546788654
Maruti Suzuki,Other_Models,13,155000,Manual,second,Diesel,Oct-24,225000,12.323855681186558
Hyundai,i10,14,60000,Manual,second,Petrol,Nov-24,165000,12.013700752882718
Other_Brands,Other_Models,10,68000,Manual,second,Petrol,Nov-24,570000,13.253391639810733
Honda,Other_Models,5,39000,Automatic,first,Petrol,Nov-24,1725000,14.360737608447597
Other_Brands,Other_Models,12,85000,Automatic,second,Diesel,Nov-24,985000,13.800396920154226
Other_Brands,Ecosport,10,100000,Automatic,first,Petrol,Nov-24,535000,13.190022025878143
Other_Brands,Compass,5,25000,Manual,first,Diesel,Nov-24,1365000,14.126664986601197
Other_Brands,Other_Models,9,120000,Automatic,second,Diesel,Nov-24,825000,13.623138665316818
Maruti Suzuki,Wagon-R,15,84000,Manual,second,Petrol,Nov-24,185000,12.128111104060462
Other_Brands,Compass,8,115000,Manual,second,Diesel,Nov-24,665000,13.407542319637992
Hyundai,Santro Xing,16,100000,Manual,second,Petrol,Nov-24,200000,12.206072645530174
Mercedes-Benz,E-Class,12,52000,Automatic,first,Petrol,Nov-24,2100000,14.557447902693651
Toyota,Other_Models,9,145000,Manual,first,Diesel,Nov-24,480000,13.081541382884074
Honda,City,10,104000,Manual,first,Diesel,Nov-24,370000,12.821258284620408
Mercedes-Benz,Other_Models,10,91540,Automatic,first,Diesel,Nov-24,2245000,14.624216079158492
Other_Brands,Other_Models,8,89500,Automatic,first,Diesel,Nov-24,2390000,14.686803923907693
Honda,City,21,91000,Automatic,first,Petrol,Nov-24,138000,11.835008964139341
Hyundai,Creta,8,180000,Manual,second,Diesel,Nov-24,850000,13.652991628466498
